symbol,entry_time,direction,entry,sl,tp,outcome,pnl_r,mfe_r,mae_r,duration_h,periodo
ETHUSDT,2023-12-16 15:00:00+00:00,long,2257.82,2238.4054,2306.3565,sl,-1.0,0.367,1.201,3,2023
ETHUSDT,2023-12-21 08:00:00+00:00,long,2211.68,2183.757,2281.4874,tp,2.5,2.533,0.239,4,2023
ETHUSDT,2023-12-27 09:00:00+00:00,long,2252.96,2231.4538,2306.7256,tp,2.5,4.296,0.122,5,2023
SOLUSDT,2022-01-09 07:00:00+00:00,short,140.34,145.1248,128.3779,sl,-1.0,0.531,1.114,12,2022
SOLUSDT,2022-01-10 10:00:00+00:00,short,140.8,143.8745,133.1139,tp,2.5,3.692,0.026,4,2022
SOLUSDT,2022-01-28 08:00:00+00:00,short,90.09,93.7089,81.0427,sl,-1.0,0.826,1.011,16,2022
SOLUSDT,2022-01-30 16:00:00+00:00,short,94.58,96.7325,89.1986,tp,2.5,2.518,0.321,10,2022
SOLUSDT,2022-02-02 15:00:00+00:00,short,105.92,109.3342,97.3846,sl,-1.0,0.697,1.172,3,2022
SOLUSDT,2022-02-06 15:00:00+00:00,short,112.99,115.7523,106.0841,sl,-1.0,0.358,2.389,12,2022
SOLUSDT,2022-02-16 13:00:00+00:00,short,99.51,101.94,93.435,sl,-1.0,0.576,1.675,6,2022
SOLUSDT,2022-03-08 16:00:00+00:00,short,81.66,83.851,76.1825,sl,-1.0,0.059,1.082,1,2022
SOLUSDT,2022-03-13 10:00:00+00:00,short,81.35,82.3882,78.7544,tp,2.5,2.832,0.318,10,2022
SOLUSDT,2022-03-21 16:00:00+00:00,short,88.0,89.8441,83.3897,sl,-1.0,0.331,1.329,10,2022
SOLUSDT,2022-04-01 07:00:00+00:00,long,126.49,121.8965,137.9737,tp,2.5,2.602,0.962,15,2022
SOLUSDT,2022-04-05 08:00:00+00:00,long,132.78,129.6972,140.487,sl,-1.0,1.265,1.106,6,2022
SOLUSDT,2022-04-10 15:00:00+00:00,long,112.33,110.2899,117.4303,sl,-1.0,1.799,1.632,9,2022
SOLUSDT,2022-04-13 10:00:00+00:00,short,102.2,104.7006,95.9486,sl,-1.0,0.872,1.064,4,2022
